ProjectID,RequirementText,IsFunctional,IsQuality
1,"User shall be able to use the application on Windows, Linux and OSX.",0,1
1,User shall be able to use the application without installation of any additional SW except the web browser,0,1
1,ReqView shall use REST API to download / upload a requirements document from / to Google Drive web service,1,1
1,The data exchange via Internet shall be done via encrypted https protocol,0,1
1,User shall be able to create a new empty document,1,0
1,User shall be able to save the current document containing unsaved changes when creating a new document,1,0
1,User shall be able to open a document file stored on a local user's drive,1,0
1,User shall be able to save the current document containing unsaved changes when opening another document,1,0
1,User shall be able to save modified document as a file stored on user's local drive,1,0
1,User shall be able to save the current ReqView document as a template file stored on user's local drive,1,0
1,"The template file shall contain information about document structure, definition of custom attributes and traceability definition",1,0
1,User shall be able to create a new document using a predefined or custom template,1,0
1,User shall be able to encrypt saved file by a strong industry standard encryption and with a user defined password,1,1
1,User shall be able to authorize ReqView with his Google Drive,1,1
1,User shall be able to open a document stored on user's Google Drive by providing its name,1,1
1,User shall be able to save the current document to user's Google Drive providing its name and password for encryption,1,1
1,User shall be able to upload a new version of a document opened from user's Google drive,1,1
1,User shall be able to import a structured requirements document from MS Word,1,1
1,User shall be able to import a table from MS Excel,1,1
1,User shall be able to export document to PDF with the same layout as displayed in the Requirements Table,1,1
1,User shall be able to export ReqView document to HTML using a custom template,1,1
1,User shall be able to export ReqView document to MS Word,1,1
1,User shall be able to show and hide Table of Contents (TOC) containing overall document structure visualized as a tree,1,1
1,User shall be able to navigate in the document by clicking at TOC sections,1,0
1,"User shall be able to review requirements organized into a table containing at Requirement ID, Requirement Description, Discussion, Links and custom requirement attribute columns",1,0
1,ID column shall contain a unique identifier,1,0
1,"Description column shall contain the section number, heading, requirement text and requirement attachments",1,0
1,"Discussion column shall visualize comments related to the requirement. Each comment shall contain its author, date and text",1,0
1,Links column shall contain list of incoming and outgoing links grouped by link type.,1,0
1,User shall be able to change width of each column in the Requirements Table,1,1
1,User shall be able to show / hide each Requirements Table column except ID and Description columns,1,1
1,User shall be able to sort all columns of the Requirements Table except Discussion and Links column by ascending or descending order. Description column shall be sorted only ascending by document hierarchy order.,1,0
