RequirementText,Class,Percentage
'The system shall refresh the display every 60 seconds.',PE,
'If projected the data must be readable. On a 10x10 projection screen 90% of viewers must be able to read Event / Activity data from a viewing distance of 30',US,
'If projected the data must be understandable. On a 10x10 projection screen 90% of viewers must be able to determine that Events or Activities are occuring in current time from a viewing distance of 100',US,
'The product shall ensure that it can only be accessed by authorized users. The product will be able to distinguish between authorized and unauthorized users in all access attempts',SE,
'The product shall be intuitive and self-explanatory. : 90% of new users shall be able to start the display of Events or Activities within 90 minutes of using the product.',US,
'The product shall respond fast to keep up-to-date data in the display.',PE,
'The system shall be used by realtors with no training.',US,
'The system shall be intuitive and self explanatory.',US,
'The product shall be easy for a realtor to learn.',US,
'The product shall use symbols and words that are naturally understandable by the realtor community.',US,
'The product shall produce search results in an acceptable time',PE,
'The search results shall be returned no later 30 seconds after the user has entered the search criteria',PE,
'The product shall generate a CMA report in an acceptable time.',PE,
'The CMA report shall be returned no later 60 seconds after the user has entered the CMA report criteria.',PE,
'The product shall synchronize contacts and appointments in an acceptable time.',PE,
'The product shall synchronize with the office system every hour.',PE,
'The product shall be installed by an untrained realtor without recourse to separately-printed instructions.',US,
'90% of untrained realtors shall be able to install the product on their device without printed instructions',US,
'Only registered realtors shall be able to access the system.',SE,
'Every user of the system shall be authenticated and authorized.',SE,
'The product shall prevent its data from incorrect data being introduced.',SE,
'The system shall be easy to use by the Program Administrators/Nursing Staff Members.',US,
'All of the users shall be able to use the system after one day of training.',US,
'The system shall help the user avoid making mistakes while scheduling classes and clinicals for the nursing students.',US,
'The number of mistakes noted by the students shall be decreased by 50% in the first year.',US,
'The system shall be intuitive to the Program Administrators/Nursing Staff Members.',US,
'2 out of 3 Program Administrators/Nursing Staff Members shall successfully be able to use the system to manage the scheduling of classes and clinicals.',US,
'The system shall use symbols and words that are naturally understandable by the user community.',US,
'The verbiage used within the system shall be consistent with Standard English and the terminology of the national Nursing Community.',US,
'Staff members shall be able to complete a set of tasks in a timely manner.',PE,
'The response time of general student management tasks shall take no longer than 5 seconds and the response time of schedule generation shall take no longer than 30 seconds.',PE,
'The system shall able to operate within a business office environment typical of the Nursing Department at DePaul University.',O,
'The system shall be used within the specifications defined by the computers used by the Program Administrators/Nursing Staff Members.',O,
'The system shall operate within the Windows XP Professional operating system.',O,
'The system shall interface with CampusConnect’s central server',O,
'The system shall interface with the faculty central server.',O,
'The system shall interface with the student master server.',O,
'We must be able to interface with any HTML browser.',O,
'Only authorized users shall have access to clinical site information.',SE,
'Program Administrators/Nursing Staff Members are the only people who shall have access to clinical site details.',SE,
'Only authorized users shall have access to students’ personal information.',SE,
'Dr Susan Poslusny and Dr Julie Donalek are the only people who shall have access to students’ personal information.',SE,
'Only authorized users shall have access to the portion of the system that interfaces with CampusConnect.',SE,
'Fit Criterion: Dr Susan Poslusny and Karen Sysol are the only people who shall have access to the final class section scheduling for the system that interfaces with CampusConnect.',SE,
'The system shall have basic data integrity checking to reduce the possibility of incorrect or invalid data being introduced.',SE,
'The system shall protect private information in accordance with the organization’s information policy.',SE,
'The system shall be built such that it is as secure as possible from malicious interference.',SE,
'The system shall use the organization’s standard virus protection software to help monitor threats to itself.',SE,
'The list of dispute cases that are displayed after a search is performed must be color coded for easy identification of dispute cases based upon the dispute case status.',US,
'100% of the cardmember and merchant services representatives shall use the Disputes application regularly after a 2-day training course.',US,
'100% of cardmember services representatives shall be able to successfully create a dispute case on the first encounter after completing the training course.',US,
'100% of merchant services representatives shall be able to successfully perform a follow up action on a dispute case on the first encounter after completing the training course.',US,
'The maximum wait time for a user navigating from one screen to another within the Disputes application shall be no more than 5 seconds.',PE,
'The Disputes application shall support 350 concurrent users without any degradation of performance in the application.',PE,
'The Disputes application shall be available 24x7x365 with the exception of the following scheduled maintenance windows. Monday – Saturday 3:00am to 4:00am EST Sunday 1:00amd to 5:00am EST',O,
'The Disputes application shall interface with the Statement Database. The Statement Database provides the transaction details to the Disputes System. All transaction details must be obtained from the Statement Database',O,
'The Disputes application shall interface with the Cardmember Information Database. The Cardmember Information Database provides detailed information with regard to a cardmember. All cardmember detail information must be obtained from the Cardmember Information Database.',O,
'The Disputes applications shall interface with the Merchant Information Database. The Merchant Information Database provides detailed information with regard to the merchant. All merchant detail information shall be obtained from the Merchant Information Database.',O,
'The Disputes application shall interface with the Letters application. This will allow the Disputes application to request letters as part of the dispute initiation and dispute follow up process. All letter requests must be sent to the Print Letter Utility application.',O,
'The Disputes application shall interface with the Cardmember Posting and Billing System. This will allow the Disputes application to request adjustments to cardmember and merchant’s accounts. All adjustment requests must be sent to the Cardmember Posting and Billing System.',O,
'The Disputes application shall ensure that only users with the appropriate access level are allowed to initiate dispute requests.',SE,
'Only users with Update access must be able to initiate dispute requests.',SE,
'The Disputes application shall ensure that only authorized users are allowed to logon to the application.',SE,
'All authorized users once authenticated must be able to logon to the Disputes System',SE,
'The Disputes System shall generate a User Report that details any new users that have been added and any changes to an existing user’s access level. The report will be reviewed for auditing purposes.',SE,
'All additions of new users and modifications to user’s access shall be recorded on the User Report.',SE,
'If a user account is revoked it can only be re-instantiated by the System Administrator.',SE,
'Only the System Administrator shall be able to reset a revoked user logon account',SE,
'The Disputes application shall manipulate and view business data. Users will not have direct access to data files or databases.',SE,
'All updates to data files or database must be initiated from the Disputes System.',SE,
'The product must support Internet Explorer 5.5 and above.',O,
'The product must support Mozilla Firefox 1.0 and above.',O,
'The product shall interface with the Choice Parts System. This provides the feed of recycled parts data.',O,
'The product shall run on the existing hardware for all environments.',O,
'The product shall adhere to the corporate Architecture guidelines',O,
'The product shall be easy to use by Adjusters and Collision Estimators. 95% of Adjusters and Collision Estimators shall find the product easy to use.',US,
'The product shall increase productivity of Collision Estimators. 80% of the Collision Estimators shall agree their productivity has increase within 1 month of using the product.',US,
'Users shall feel satisfied using the product. 85% of all users will be satisfied with the product.',US,
'The product shall be easy to learn by Adjusters and Collision Estimators. The product shall be learned with two days onsite training',US,
'The user shall easily locate instructions while using the product. User help can be found within 90% of the system.',US,
'The search for recycled parts shall take no longer than 15 seconds. The search results shall be returned in under 15 seconds.',PE,
'The search for the preferred repair facility shall take no longer than 8 seconds. The preferred repair facility is returned within 8 seconds',PE,
'The recycled parts audit report shall be returned to the user within 10 seconds. The audit report shall be returned within 10 seconds.',PE,
'The preferred repair facility ratings shall be saved within 5 seconds. The save shall occur within 5 seconds.',PE,
'For estimators the product shall be able to be operated in a repair facility during dirty and noisy conditions.',O,
'The product shall interface with the ChoiceParts system once per day at approximately 1:00 AM.',O,
'The maintenance of the product will fall within the established corporate maintenance windows.',O,
'The product shall be supported using the corporate support center.',O,
'Product installations and upgrades shall be handled by the middleware technology team within established launch time frames.',O,
'Only adjusters can request recycled parts audit reports. No users without an adjuster role shall request recycled parts audits.',SE,
'Only adjusters with a supervisor role can update preferred repair facility ratings. Users without the supervisor role cannot access the repair facility ratings.',SE,
'Only collision estimators shall search for recycled parts. Users without the collision estimator role shall not have access to the search for recycled parts.',SE,
'Only valid data shall be entered into the system. No invalid data shall be entered into the system.',SE,
'One insurance company shall not be able to view another insurance companys claim data.',SE,
'The product shall free of computer viruses.',SE,
'The system shall prevent malicious attacks including denial of service.',SE,
'The product must work with most database management systems (DBMS) on the market whether the DBMS is colocated with the product on the same machine or is located on a different machine on the computer network.',O,
'The product will function alongside server software on any operating system where the Java runtime can be installed.',O,
'The product will require collaboration with a database management system (DBMS). The DBMS may be located on the same machine as the product or on a separate machine residing on the same computer network.',O,
'The product must make use of web/application server technology. Open source examples include Apache web server Tomcat and the JBoss application server.',O,
'A database management system such as Oracle DB2 MySql or HSQL will need to be integrated with the product.',O,
'The product shall make the users want to use it. 80% of the users surveyed report they are regularly using the product after the first 2 weeks post-launch.',US,
'The product shall be easy to use. 90% of users will be able to successfully reserve a conference room within 5 minutes of product use.',US,
'The product shall give users feedback when necessary. 80% of the users surveyed report that the product accurately confirms their actions.',US,
'The product shall allow the user to select a chosen language from one of the target market countries.',US,
'The product shall allow for customization of start page and views preferences.',US,
'An employee will be able to successfully use the product within a few minutes. After informally navigating the product for less than 15 minutes users shall be able to successfully setup meetings and reserve conference rooms.',US,
'The product shall use a standard navigation menu familiar to most web users.',US,
'The product shall allow for intuitive searching of available conference rooms.',US,
'The product shall conform to the Americans with Disabilities Act.',US,
'The response shall be fast enough to avoid interrupting the user’s flow of thought. 90% of tasks shall complete within 5 seconds. 98% of tasks shall complete within 8 seconds.',PE,
'The product shall be used in office environments.',O,
'The product must be able to interface with any HTML browser. The product shall transmit data between the user and the product without problems. The product shall display HTML properly in 80% of all HTML browsers tested (minimum is to test 8 browsers).',O,
'The product must be able to interface with various database management systems. The product shall communicate successfully with the database management system on 100% of all transactions.',O,
'The product must be able to interface with various email servers. The product shall be able to send email.',O,
'The product shall be available for distribution via the Internet as a binary or ZIP file.',O,
'The product shall be available for distribution as a packaged CD.',O,
'The product will be available for licensing as a one-server two-five servers or five-or-more servers license.',O,
'A new user must be able to be added to the system within 10 minutes. 90% of new users are able to log into the system within 10 minutes.',US,
'Every registered user will have access to the product’s support site via the Internet. 70% of registered users shall find a solution to their problem within 5 minutes of using the support site.',US,
'The product shall be translated into foreign languages other than the target market countries’ languages in future releases. For each emerging target market it shall take no more than 5 days to configure the product for that market’s language.',US,
'The product is expected to integrate with multiple database management systems. The product will operate with Oracle SQL Server DB2 MySQL HSQL and MS Access.',O,
'The product shall be able to be installed in any operating environment within 2 days.',O,
'The product shall ensure that only company employees or external users with company-approved user IDs may have product access. 100% of all logons shall be by either company employees or external users with company-approved user IDs.',SE,
'Only managers are able to perform search queries for reservations by user. 100% of all search queries for reservations by user shall be from logons of only management logons.',SE,
'The product shall ensure that the database’s data corresponds to the data entered by the user. Each conference room reservation in the system will contain the same information as was entered by the user.',SE,
'The product shall prevent the input of malicious data. The product and/or adjacent hardware/software systems’ data shall remain 100% uncorrupted each time malicious data is input into the product.',SE,
'The product shall have the ability to receive automatic software updates as new threats emerge. 100% of customers will be able to receive automatic software updates transmitted to the installed product.',SE,
'The product shall be able to display calendar dates and times according to the user’s locale. 90% of survey respondents from each target market country will find that the date and time formatting of the product is correct.',US,
'The product must be developed with the J2SE/J2EE programming language libraries',O,
'Recreation of Inventory Quantity Adjustment for the period of previous 30 days shall take no more than 30min.',PE,
'The System shall allow for a minimum of 6 users to work at the same time.',PE,
'The System shall utilize currently owned computer equipment.',O,
'The System shall be able to automatically backup business data and restore them on demand.',O,
'The System shall maintain consistent security. Any changes in user passwords and/or permissions should take affect in all parts of the System.',SE,
'The System shall granularly control access rights to all major subsystems. It should be possible to assign access rights to all subsystems independently.',SE,
'The System shall not require additional third party licenses resulting in royalty fees.',O,
'Administrator shall be able to activate a pre-paid card via the Administration section in under 5 seconds.',PE,
'Customer shall be able to check the status of their prepaid card by entering in the PIN number in under 5 seconds.',PE,
'System shall let customers register on the website as a “pay as you go” user in under 5 minutes.',PE,
'System shall let customers register on the website as a “unlimited movie subscriber” user in under 10 minutes.',PE,
'System shall let existing customers log into the website with their email address and password in under 5 seconds.',PE,
'System shall let customers cancel their account process shall take no longer than 2 minutes. Database will mark the account as inactive and user will not be able to log into the website.',PE,
'System shall let administrator de-activate a customer account in under 1 minute. Customer will no longer be able to access the website.',PE,
'System shall let administrator add/remove movies on the website in under 5 minutes. Entered movie information will be stored in the database and will now be available on the website.',PE,
'System shall let the administrator add/remove categories on the website in under 5 minutes.',PE,
'System shall let Izogn Manager access sales and usage statistics in under 2 minutes.',PE,
'System shall let administrators generate unique pre-paid pins in under 2 minutes and generate an Excel file with the generated PINs.',PE,
'The product should be able to be used by 90% of novice users on the Internet.',US,
'Users should only have to navigate through a maximum of 4 pages to create an account with the website.',US,
'Users should be able to access their streaming movies in under 2 clicks after logging into the website.',US,
'An anonymous survey will show that 70% of customers are comfortable purchasing streaming movies after 2 weeks using the website.',US,
'An anonymous survey will show that 95% of customers are comfortable using and purchasing pre-paid cards after a month of using the system.',US,
'The product shall retain the customer’s buying preferences and information.',US,
'The product shall be easy for customers with novice skills on the Internet to purchase and watch streaming movies. Customers should be able to purchase and watch a pre-determined movie in under 3 minutes.',US,
'The product shall use symbols and words that are naturally understandable by users familiar with websites',US,
'The website will use standard Internet conventions when interacting with the user.',US,
'Any interface between a user and the automated system shall have a maximum response time of 5 seconds unless noted by an exception below.',PE,
'When purchasing a streaming movie or pre-paid card via credit card the processing time should have a maximum response time of 15 seconds.',PE,
'When streaming a movie the buffering time should take no longer than 10 seconds (plus any latency on the user’s connection.)',PE,
'While streaming a movie buffering should only occur if there is latency in the user’s connection.',PE,
'All credit card information will be secured on the server and only accessible by authorized Izogn administrators. Information will be encrypted in the database.',SE,
'All aspects of the website shall be accessed by a web browser over the Internet.',O,
'The same hardware supporting the current website will be used to support the new system.',O,
'We must be able to interface with the following browsers: IE 5.X 6.0 Netscape 6.x 7.x 8.x and Firefox 1.0.',O,
'Website must interface with the CyberSource API to process credit card transactions.',O,
'Website must be fully operational with MSN TV2.',O,
'Movies shall be encoded and streamed via Windows Media Player 9.0.',O,
'Movies shall be encoded for 56k and 256k streams.',O,
'Izogn Administrator must be able to update the category listings on the website within 2 minutes.',PE,
'Izogn Administrator must be able to add new products to the website within 2 minutes.',PE,
'The website will provide a help section with answers and solutions to common problems.',US,
'The product shall be able to be installed in the specified environment within 1 working day.',O,
'Only registered customers can purchase streaming movies.',SE,
'A customer can only stream a movie if they purchased it and are within the 2 day viewing period.',SE,
'Only authorized personnel can access customer records in the database.',SE,
'Only administrators can activate a pre-paid card.',SE,
'Only authorized personnel can access sales information.',SE,
'The website shall prevent its data from being corrupted when incorrect data is entered in.',SE,
'The website shall protect itself from intentional abuse and notify the administrator at all occurrences.',SE,
'Data integrity scripts will be run on a weekly basis to verify the integrity of the database.',SE,
'The website shall make its user aware of its information practices before collection data from them via a Privacy Policy accessible on all pages of the website.',SE,
'The system shall notify customers of changes to its information policy.',SE,
'The system shall reveal private information only in compliance with the organization’s information policy.',SE,
'All customer information will be stored on a secure database accessible only to authorized personnel.',SE,
'All credit card information will be encrypted in the database.',SE,
'The streaming server will have anti-virus software to prevent infection of malicious viruses.',SE,
'The website should use Flash to provide animation on the home page.',O,
'Total lead cycle time must be completed in 5 minutes for 90% of lead volume between the business hours of 8AM CST to 8PM CST; then 3 minutes for 99% of lead volume during off business hours.',PE,
'No lead evaluation will complete in a time period longer than 25 seconds for 97% of all leads processed.',PE,
'For leads that process longer than 25 seconds the system will record the event and duration',PE,
'The process must fit within the processing time conditions set forth by the Auto Rep Assignment process in which a lead is assigned within 3 minutes of the total life cycle.',PE,
'The lead washing process will operate within the established physical web service structure.',O,
'The washing process must use a non binding neutral data format such as xml when receiving and processing lead data.',O,
'The product shall able to handle a large number of games simultaneously.',PE,
'The response time shall be fast enough to maintain the flow of the game. The response time shall be no more than 2 seconds for 95% of responses and no more than 4% for the remaining responses.',PE,
'The product shall protect the identity of the players. The product shall provide players no access to information that might reveal the identity of another player.',PE,
