RequirementText,Class
projected data readable,US
text projected screen readable,US
product intuitive easy,US
realtor use system without training,US
system easy use,US
product easy realtor learn,US
symbol word easy understand,US
untrained realtor install product without separate instruction,US
untrained user use product without instruction,US
system easy administrator use,US
user use system day training,US
system help user avoid making mistake,US
number user mistake decrease first month,US
system intuitive administrator,US
administrator successfully system,US
system symbol word easy understand,US
system text consistent standard english,US
dispute colored easy status identification,US
user regular application usage training,US
user successfully create dispute first training,US
user able successfully complete task,US
adjuster find product easy use,US
product increase productivity adjuster,US
user increase productivity product,US
user learn product day,US
user easily find instruction product usage,US
user survey report regular product usage,US
user able successfully reserve room minute,US
product provides user colored feedback,US
user able select language,US
product customization home page,US
user able successfully use product,US
product standard navigation menu,US
search available room intuitive,US
product must conform disability act,US
add new user system take minute,US
user access support page,US
product translated language,US
product display time according user local time,US
product usable novice user,US
user navigate page create account,US
user access streaming movie click login,US
survey show customer comfortable purchasing streaming,US
survey show customer comfortable using system,US
product help customer buying preference,US
novice customer easily purchase streaming movie,US
product use word easy understand,US
website interacts user using standard convention,US
help page contain support answer issue,US
user able complete game without training,US
product available player understand english,US
caller supervisor able complete task minute,US
system easy learn caller supervisor,US
product easy administrator use day usage,US
product help administrator resolve issue transaction,US
product help administrator analyze transaction report,US
functionality navigation done mouse,US
interface adheres usability standard,US
report generated button click,US
user able use system without instruction,US
training session scheduled user,US
system symbol defined company,US
second user able navigate home page,US
user able reach player management page click home page,US
user able view player information home page,US
application asks user confirmation action done,US
user able complete task defined time,US
system help system data screen,US
system user friendly manager chef,US
system quickly accessible manager chef,US
system intuitive display data,US
menu system easy navigate using button,US
user able use application without instruction,US
system allows user view campus map map page,US
system provides return button home page,US
system support user task,US
system provides digital image product catalog,US
system provides use symbol button,US
system provides accessiibility according disability act,US
system provides multi language support,US
system asks confirmation transaction,US
interface system user friendly intuitive,US
take second account registration,US
take second user buy movie,US
website site map quickly access system,US
system protected virus,SE
system interacts firefox browser,O
product interacts various server,O
administrator activate prepaid card,SE
authorized user use system location,SE
streaming server security software prevent virus,SE
system must use secured database,SE
revoked user account reset administrator,SE
application run web application server,O
data transaction client server must encrypted using ssl technology,SE
authorized user access system,SE
secondary server must available case heavy load,PE
system mustnt leave cooky customer computer containing password,SE
product available license,O
response search take second load,PE
second web page must downloadable connection,PE
system generates pin user prevent attack,SE
concurrent user supported without performance degradation,PE
minute administrator able revoke account,PE
maintenance occur established maintenance window,O
system password per user login,SE
meeting scheduler accessed web,O
administrator reset revoked user account,SE
authorized user able enter system,SE
response time second,PE
registered realtor access system,SE
administrator access confidential site information,SE
system periodic message,O
interface user system second response time,PE
susan access user personal information,SE
credit card information encrypted database,SE
product mustnt virus,SE
lead process operates within established architecture,O
system store location product sent,O
user cant login tablet simultaneously,SE
report returned second,PE
movie encoded connection,O
company havent permission view another data,SE
movie available browser,O
website support java,O
authorized user access database,SE
customer stream purchased movie,SE
product store message security audit purpose,SE
system interacts master server,O
product interacts browser,O
user password stored database encrypted format,SE
product developed java library,O
username password used authentication,SE
system installed currently hardware computer,O
web browser mustnt display customer credit card number database,SE
system used within specification defined computer administrator,O
system fast responsive,PE
system able provide information database catalog,O
user system must login using unique identification,SE
hardware used install new system,O
application isnt available scheduled maintenance window,O
user access limited right permission,SE
data recorded lead take second,PE
personal information security defined database server,SE
product run web server,O
system operates within window operating system,O
system response must fast,PE
product mustnt provide player information another player,SE
every user system must authenticate,SE
system integrates service,O
valid data must entered system,SE
product process message second,PE
product protocol process message real time,O
system interacts environment,O
product web application server technology,O
system interacts database,O
system allows user enter website minute,PE
system security mechanism prevent unauthorized access,SE
stream buffering occur latency user connection,PE
system must short response time,PE
manager able search reserve,SE
search repair take second,PE
system doesnt require third party license,O
password used tablet login must bit strength,SE
application interacts billing system,O
connection system response time second,PE
product installed operating environment,O
login done securely,SE
system allows user work simultaneously,PE
password used tablet login must changed every month,SE
