RequirementText,Class
system update display every second,PE
projected data readable,US
text projected screen readable,US
authorized user access product,SE
product intuitive easy,US
product responds quickly,PE
realtor use system without training,US
system easy use,US
product easy realtor learn,US
symbol word easy understand,US
product return search result acceptable time,PE
search result returned second,PE
product generates report acceptable time,PE
report returned second,PE
product synchronizes contact acceptable time,PE
product synchronizes system every hour,PE
untrained realtor install product without separate instruction,US
untrained user use product without instruction,US
registered realtor access system,SE
every user system must authenticate,SE
product prevents incorrect data,SE
system easy administrator use,US
user use system day training,US
system help user avoid making mistake,US
number user mistake decrease first month,US
system intuitive administrator,US
administrator successfully system,US
system symbol word easy understand,US
system text consistent standard english,US
system must allow user complete task acceptable time,PE
response time task second,PE
system operates office environment,O
system used within specification defined computer administrator,O
system operates within window operating system,O
system interacts primary server,O
system interacts database,O
system interacts master server,O
application interacts browser,O
authorized user access confidential site information,SE
administrator access confidential site information,SE
authorized user access user personal information,SE
susan access user personal information,SE
authorized user access database,SE
susan access class scheduling,SE
system data integrity checking,SE
system protects private information per policy,SE
system protected malicious interference,SE
system protected virus,SE
dispute colored easy status identification,US
user regular application usage training,US
user successfully create dispute first training,US
user able successfully complete task,US
navigation screen take second,PE
application support concurrent user without performance degradation,PE
application isnt available scheduled maintenance window,O
application interacts master database,O
user information recorded user database,O
merchant database provides merchant information,O
application interacts application,O
application interacts billing system,O
user right access initiate dispute,SE
user update access update dispute,SE
authorized user login,SE
authorized user able enter system,SE
system generates user report,SE
user action recorded user report,SE
revoked user account reset administrator,SE
administrator reset revoked user account,SE
user havent permission access file database,SE
update database must initiate dispute system,SE
product support internet explorer browser,O
product must support mozilla firefox browser,O
product interacts part system,O
product run existing hardware,O
product adheres company architecture guideline,O
adjuster find product easy use,US
product increase productivity adjuster,US
user increase productivity product,US
user learn product day,US
user easily find instruction product usage,US
search result returned second,PE
search repair take second,PE
audit report returned second,PE
repair done second,PE
product operates noisy environment,O
product interacts system daily,O
maintenance occur established maintenance window,O
product supported using company server center,O
hardware handled technology team,O
adjuster request recycled part audit report,SE
supervisor access repair,SE
adjuster search recycled part,SE
valid data must entered system,SE
company havent permission view another data,SE
product mustnt virus,SE
system must prevent malicious attack,SE
product work database management system,O
product work system database installed,O
database management system separate machine,O
product web application server technology,O
product integrates database management system,O
user survey report regular product usage,US
user able successfully reserve room minute,US
product provides user colored feedback,US
user able select language,US
product customization home page,US
user able successfully use product,US
product standard navigation menu,US
search available room intuitive,US
product must conform disability act,US
system response must fast,PE
product used office environment,O
product interacts browser,O
product successfully interacts database management system,O
product interacts various server,O
product distributed via internet,O
product distributed,O
product available license,O
add new user system take minute,US
user access support page,US
product translated language,US
product integrate various technology,O
product installed operating environment,O
approved user access,SE
manager able search reserve,SE
data entered user must correspond database data,SE
product prevents input malicious data,SE
product receives automatic software update new virus,SE
product display time according user local time,US
product developed java library,O
create inventory take minute,PE
system allows user work simultaneously,PE
system installed currently hardware computer,O
system automatically backup data,O
change password permission consistently take effect,SE
access right assigned user,SE
system doesnt require third party license,O
second administrator activate prepaid card,PE
second customer check status prepaid card,PE
system allows customer registration minute,PE
system allows user enter website minute,PE
second customer login website,PE
system allows customer cancel account minute,PE
minute administrator able revoke account,PE
administrator able add movie minute,PE
system allows administrator cancel movie minute,PE
system allows manager access statistic minute,PE
administrator generates unique pin minute,PE
product usable novice user,US
user navigate page create account,US
user access streaming movie click login,US
survey show customer comfortable purchasing streaming,US
survey show customer comfortable using system,US
product help customer buying preference,US
