RequirementText,Class
system shall MDI form allows viewing graph data table,F
system shall display Events vertical table time,F
system shall display Events graph time,F
system shall display Events Activities,F
top table hold event occur sequentially,F
bottom table hold event occur according relevance current time,F
system shall color code event according variance current time,F
system shall allow modification display,F
system shall offer display Events exercise,F
system shall filter data Venues Key Events,F
system shall allow user define time segment,F
system shall display local time exercise time separate clock,F
system shall offer ability pause resume refresh data,F
system shall provide chart Activity Event actual versus assumed time,F
system shall provide history report change made Activity Event data,F
system shall allow real estate agent query MLS information,F
user shall able get driving direction selected property,F
user shall able download appointment contact information client,F
system shall display clear property image search result,F
system shall update create new property listing MLS,F
system shall able call seller buyer schedule appointment,F
realtor shall notified new client appointment automatic synchronization office system,F
realtor shall able retrieve map showing property location specified area,F
system shall notify realtor seller buyer responds appointment request,F
product shall allow user save property search result,F
Administrators shall able add listing student cohort,F
Administrators shall able add single student cohort,F
Students added cohort shall eligible cohort Program Study,F
Administrators shall able specify preferred sequence class given cohort,F
Administrators shall able add new class sequence class,F
Administrators shall able add clinical class section sequence class,F
Administrators shall able add new cohort system identified start month year,F
Administrators shall able add new class nursing department system,F
class shall either nonclinical class clinical class,F
nonclinical class shall specify course name lecture room requirement instructor need,F
Administrators shall able create new Program Study,F
Administrators shall ability specify class required Program Study,F
Classes given cohort shall conflict regard time day offered,F
Administrators shall able add new clinical site system,F
Clinical site information shall include name site contact person contact information,F
Administrators shall able add new clinical lab section existing clinical class System,F
clinical lab section shall include clinical site name class instructor day time lab,F
Administrators shall able add student registered clinical class clinical lab section class,F
system shall allow Administrator remove student clinical lab section,F
system shall allow Administrator move student one clinical lab section another,F
Administrators shall able cancel clinical lab section student registered clinical lab section,F
Administrator shall able add new nursing student system,F
staff member shall ability manage progress part time student,F
system shall able display printable summary individual cohort,F
system shall able display printable summary individual clinical site,F
system shall able display printable summary individual clinical lab,F
system shall able display printable summary individual nursing student,F
system shall able display printable summary system log,F
system shall contain contact information people relevant system,F
system use stored email address primary mean communicating information affected party,F
system notify affected party routine communication purpose,F
system notify affected party change occur affecting clinicals,F
system notify affected party change occur affecting class,F
system notify affected party change occur affecting cohort,F
system notify affected party change occur affecting specific student,F
Administrators shall ability modify information relating cohort,F
Administrators shall ability modify information relating Program Study within Nursing Department,F
