RequirementText,Class
the system shall refresh the display every 60 second,NF
the application shall match the color of the schema set forth by department of homeland security,NF
on a 10x10 projection screen 90 percent of viewer must be able to read event and activity data from a viewing distance of 30,NF
the product shall be available during normal business hour,NF
90 percent of viewer must be able to determine that event or activity are occuring in current time from a viewing distance of 100,NF
the product shall ensure that it can only be accessed by authorized user,NF
90 percent of new user shall be able to start the display of event or activity within 90 minute of using the product,NF
the product shall respond fast to keep uptodate data in the display,NF
the system shall have a mdi form that allows for the viewing of the graph and the data table,F
the system shall display event in a vertical table by time,F
the system shall display the event in a graph by time,F
the system shall display event or activity,F
the top 1/4 of the table will hold event that are to occur sequentially,F
the bottom 3/4 of the table will hold event that occur according to it relevance to current time,F
the system shall color code event according to their variance from current time,F
the system shall allow modification of the display,F
the system shall offer a display of all the event in the exercise,F
the system shall filter data by venue and key event,F
the system shall allow a user to define the time segment,F
the system shall display the local and exercise time in separate clock,F
the system shall offer the ability to pause and resume the refresh of data,F
the system shall provide chart for the activity or event actual versus assumed time,F
the system shall provide a history report of change made to the activity or event data,F
the look and feel of the system shall conform to the user interface standard of the smart device,NF
the user interface shall have standard menu button for navigation,NF
the system shall have a professional appearance,NF
the product shall have a consistent color scheme and font,NF
the system shall be used by realtor with no training,NF
the system shall be intuitive and self explanatory,NF
the product shall be easy for a realtor to learn,NF
the product shall use symbol and word that are naturally understandable by the realtor community,NF
the product shall produce search result in an acceptable time,NF
the search result shall be returned no later 30 second after the user ha entered the search criterion,NF
the product shall generate a cma report in an acceptable time,NF
the cma report shall be returned no later 60 second after the user ha entered the cma report criterion,NF
the product shall synchronize contact and appointment in an acceptable time,NF
the product shall synchronize with the office system every hour,NF
the product shall be available for use 24 hour per day 365 day per year,NF
out of 1000 access to the system the system is available 999 time,NF
the product shall operate in offline mode whenever internet connection is unavailable,NF
the product shall allow the user to view previously downloaded search result,NF
the product shall retain user preference in the event of a failure,NF
100 percent of saved user preference shall be restored when system come back online,NF
the product shall be able to support multiple remote user,NF
the product shall be able support 1000 simultaneous user,NF
the number of user is expected to grow 5 time within the next year,NF
the product shall be installed by an untrained realtor without recourse to separatelyprinted instruction,NF
90 percent of untrained realtor shall be able to install the product on their device without printed instruction,NF
the product is expected to run on window ce and palm operating system,NF
only registered realtor shall be able to access the system,NF
every user of the system shall be authenticated and authorized,NF
the product shall prevent it data from incorrect data being introduced,NF
the system shall allow a real estate agent to query ml information,F
the user shall be able to get driving direction to a selected property,F
the user shall be able to download appointment and contact information for client,F
the system shall display clear property image in the search result,F
the system shall update or create new property listing in the ml,F
the system shall be able to call the seller or buyer to schedule an appointment,F
the realtor shall be notified of new client appointment after automatic synchronization with office system,F
the realtor shall be able to retrieve a map showing property location for a specified area,F
the system shall notify the realtor when a seller or buyer responds to an appointment request,F
the product shall allow the user to save the property search result,F
the software product is expected to run on window or linux platform,NF
the system shall be easy to use by the program administrator and nursing staff member,NF
all of the user shall be able to use the system after one day of training,NF
the system shall help the user avoid making mistake while scheduling class and clinicals for the nursing student,NF
the number of mistake noted by the student shall be decreased by 50 percent in the first year,NF
the system shall be intuitive to the program administrator and nursing staff member,NF
2 out of 3 admin shall successfully be able to use the system to manage the scheduling of class and clinicals,NF
the system shall use symbol and word that are naturally understandable by the user community,NF
the verbiage used within the system shall be consistent with standard english and the terminology of the national nursing community,NF
staff member shall be able to complete a set of task in a timely manner,NF
the response time of general student management task shall take no longer than 5 second,NF
the system shall be available for use between the hour of 8am and 6pm,NF
the system shall achieve 95 percent up time,NF
the system shall be able to handle all of the user requests/usage during business hour,NF
the system shall cater to 10 simultaneous user from 9am to 5pm,NF
the system shall be capable of processing 100 percent of nursing student and their class for the next 10 year,NF
the system shall be expected to manage the nursing program curriculum and class/clinical scheduling for a minimum of 5 year,NF
the system shall able to operate within a business office environment,NF
the system shall be used within the specification defined by the computer used by the administrator,NF
the system shall operate within the window xp professional operating system,NF
the system shall interface with campusconnect ’ s central server,NF
the system shall interface with the faculty central server,NF
the system shall interface with the student master server,NF
we must be able to interface with any html browser,NF
only authorized user shall have access to clinical site information,NF
administrator are the only people who shall have access to clinical site detail,NF
only authorized user shall have access to student ’ personal information,NF
dr susan poslusny and dr julie donalek are the only people who shall have access to student ’ personal information,NF
only authorized user shall have access to the portion of the system that interface with campusconnect,NF
dr susan poslusny and karen sysol are the only people who shall have access to the final class section scheduling,NF
the system shall have basic data integrity checking to reduce the possibility of incorrect or invalid data being introduced,NF
the system shall protect private information in accordance with the organization ’ s information policy,NF
the system shall be built such that it is a secure a possible from malicious interference,NF
the system shall use the organization ’ s standard virus protection software to help monitor threat to itself,NF
administrator shall be able to add a listing of student to a cohort,F
administrator shall be able to add a single student to a cohort,F
student added to a cohort shall be eligible for the cohort ’ s program of study,F
administrator shall be able to specify the preferred sequence of class for a given cohort,F
administrator shall be able to add new class to a sequence of class,F
administrator shall be able to add clinical class or section to a sequence of class,F
administrator shall be able to add a new cohort to the system identified by start month and year,F
administrator shall be able to add new class for the nursing department into the system,F
a class shall be either a nonclinical class or a clinical class,F
a nonclinical class shall specify the course name lecture room requirement and instructor need,F
administrator shall be able to create a new program of study,F
administrator shall have the ability to specify which class are required for a program of study,F
class for a given cohort shall not conflict with regard to the time and day that they are offered,F
administrator shall be able to add a new clinical site into the system,F
clinical site information shall include the name of the site contact person and contact information,F
administrator shall be able to add a new clinical lab section for an existing clinical class into the system,F
a clinical lab section shall include the clinical site name the class instructor day and time of the lab,F
administrator shall be able to add a student who ha registered for a clinical class to a clinical lab section for that class,F
the system shall allow a administrator to remove a student from a clinical lab section,F
the system shall allow a administrator to move a student from one clinical lab section to another,F
administrator shall be able to cancel a clinical lab section only if there are no student registered for that clinical lab section,F
a administrator shall be able to add a new nursing student to the system,F
a staff member shall have the ability to manage the progress of a part time student,F
the system shall be able to display a printable summary for individual cohort,F
the system shall be able to display a printable summary for individual clinical site,F
the system shall be able to display a printable summary for individual clinical lab,F
the system shall be able to display a printable summary for individual nursing student,F
the system shall be able to display a printable summary of the system log,F
the system shall contain contact information for all people relevant to the system,F
the system will use the stored email address a a primary mean of communicating information to affected party,F
the system will notify affected party for routine communication purpose,F
the system will notify affected party when change occur affecting clinicals,F
the system will notify affected party when change occur affecting class,F
the system will notify affected party when change occur affecting cohort,F
the system will notify affected party when change occur affecting specific student,F
administrator shall have the ability to modify information relating to cohort,F
administrator shall have the ability to modify information relating to a program of study within the nursing department,F
administrator shall have the ability to modify information relating to a clinical site,F
administrator shall have the ability to modify information relating to a clinical lab section,F
administrator shall have the ability to modify information relating to a nursing student,F
the dispute application shall comply with the corporate standard for user interface creation,NF
all screen created a part of the dispute application must comply with corporate standard for interface creation,NF
the list of dispute case that are displayed after a search is performed must be color coded,NF
100 percent of the cardmember and merchant service representative shall use the dispute application regularly after a 2day training course,NF
100 percent of cardmember service representative shall be able to successfully create a dispute case,NF
100 percent of merchant service representative shall be able to successfully perform a follow up action on a dispute case,NF
the maximum wait time for a user navigating from one screen to another within the dispute application shall be no more than 5 second,NF
the dispute application shall support 350 concurrent user without any degradation of performance in the application,NF
the dispute application shall interface with the statement database,NF
the dispute application shall interface with the cardmember information database,NF
the dispute application shall interface with the merchant information database,NF
the dispute application shall interface with the letter application,NF
the dispute application shall interface with the cardmember posting and billing system,NF
the dispute application shall ensure that only user with the appropriate access level are allowed to initiate dispute request,NF
only user with update access must be able to initiate dispute request,NF
the dispute application shall ensure that only authorized user are allowed to logon to the application,NF
all authorized user once authenticated must be able to logon to the dispute system,NF
the dispute system shall generate a user report that detail any new user that have been added and any change to an existing user ’ s access level,NF
all addition of new user and modification to user ’ s access shall be recorded on the user report,NF
if a user account is revoked it can only be reinstantiated by the system administrator,NF
only the system administrator shall be able to reset a revoked user logon account,NF
user will not have direct access to data file or database,NF
all update to data file or database must be initiated from the dispute system,NF
the dispute application must conform to the legal requirement a specified by the merchant operating regulation,NF
all business rule specified in the dispute system shall be in compliance with the merchant operating regulation,NF
the dispute application must conform to the legal requirement a specified by regulation e and regulation z that govern credit card dispute processing,NF
all business rule specified in the dispute system shall be in compliance to the guideline of regulation e and regulation z,NF
the dispute application must maintain a detailed history of every action that a user take on a dispute case,NF
all action that modify an existing dispute case must be recorded in the case history,NF
the dispute system must be accessible by both internal and external user,F
the dispute system must prevent user from accessing any dispute case that do not belong to their cardholder base,F
the dispute system will facilitate direct data entry of a dispute case via a user interface that support real time response to the user,F
the dispute system must provide different level of access with regard to dispute case initiation and followup action,F
the dispute system shall provide view access capability for authorized user of the application,F
the dispute system shall provide update access capability for authorized user of the application,F
the dispute system must allow the user to select disputable transaction from a user interface and initiate a dispute on the selected transaction,F
the dispute system must provide the user the ability to initiate a single dispute case on multiple transaction that belong to a single merchant,F
the dispute system will provide the user the ability to create or initiate a ticket retrieval request,F
the dispute system must allow the user to create three unique type of ticket retrieval request,F
the dispute system must prevent external user from requesting original receipt,F
the dispute system must provide a confirmation to the user upon the creation of ticket retrieval request,F
the dispute system shall allow the user to create or initiate a chargeback request,F
the dispute system must provide a confirmation to the user upon the creation of a chargeback request,F
the dispute system shall prevent the creation of duplicate dispute request 100 percent of the time,F
the dispute system shall accurately provide a list of possible reason code for a given transaction,F
the dispute system must provide the ability to view existing dispute case,F
the dispute system must provide search functionality,F
a list of all dispute case that meet the entered search criterion must be provided to the user,F
the dispute system shall provide the user the ability to view the history of all activity that have occurred on the dispute case,F
the dispute system shall provide the user with the ability to follow up on a dispute case via followup action,F
the dispute system shall record the name of the user and the date for any activity that creates or modifies the dispute case in the system,F
for any systematic action that occurs on a case such a the dispute aging process a case activity will be generated,F
all letter request must be formatted according to guideline specified by the print letter utility system,F
any dispute case that have been closed for over 6 month must be purged from the online dispute database,F
the product must support internet explorer 55 and above,NF
the product must support mozilla firefox 10 and above,NF
the product shall interface with the choice part system providing the feed of recycled part data,NF
the product shall run on the existing hardware for all environment,NF
the product shall adhere to the corporate architecture guideline,NF
the product shall comply with corporate user interface guideline,NF
the product shall comply with corporate color scheme,NF
the appearance of the product shall appear professional,NF
95 percent of adjuster and collision estimator shall find the product easy to use,NF
80 percent of the collision estimator shall agree their productivity ha increase within 1 month of using the product,NF
85 percent of all user will be satisfied with the product,NF
the product shall be learned with two day onsite training,NF
user help can be found within 90 percent of the system,NF
the search for recycled part shall take no longer than 15 second,NF
the preferred repair facility is returned within 8 second,NF
the recycled part audit report shall be returned to the user within 10 second,NF
the preferred repair facility rating shall be saved within 5 second,NF
the application is brought down only within 98 percent of the scheduled outage per the availability schedule,NF
the product shall not fail more than 2 percent of the available online time,NF
the system shall perform with 1500 user a a time,NF
the average number of recycled part record per day shall be 50000,NF
the product shall be able to handle 10000 concurrent user within 2 year of the initial launch,NF
for estimator the product shall be able to be operated in a repair facility during dirty and noisy condition,NF
the product shall interface with the choiceparts system once per day at approximately 100 am,NF
the maintenance of the product will fall within the established corporate maintenance window,NF
the product shall be supported using the corporate support center,NF
product installation and upgrade shall be handled by the middleware technology team,NF
only adjuster can request recycled part audit report,NF
only adjuster with a supervisor role can update preferred repair facility rating,NF
user without the collision estimator role shall not have access to the search for recycled part,NF
only valid data shall be entered into the system,NF
one insurance company shall not be able to view another insurance company claim data,NF
the product shall free of computer virus,NF
the system shall prevent malicious attack including denial of service,NF
the product must comply with sarbanesoxley,NF
the product shall comply with the estimatics law relating to recycled part usage,NF
the product shall comply with insurance regulation regarding claim processing,NF
the user shall search for the preferred repair facility using vehicle vehicle location and radius in mile,F
the vehicle data shall include vehicle year make and model,F
the vehicle location shall include street address city state and zipcode,F
the system shall resolve the zipcode for the street address city and state if zipcode is unknown,F
the search radius shall be between 1 and 30 mile,F
the system shall locate the preferred repair facility with the highest rating for the input criterion,F
the adjuster shall enter the preferred repair facility on the estimate assignment,F
the adjuster shall be able to override the preferred repair facitlity on the estimate assignment,F
the preferred repair facility shall be returned to the user,F
the system shall return a list of repair facility within the radius if the preferred repair facility can not be determined,F
the estimator shall search for available recycled part using damaged vehicle part information,F
the estimator shall search for available recycled part using a list of preferred part supplier,F
the system shall search for available recycled part for the supplied vehicle part and supplier,F
the estimator shall search by zipcode with a radius of 30 mile if no part are found for the preferred part supplier,F
the system shall retain the available recycled part and supplier returned from the search,F
the available recycled part information and their supplier shall be returned to the user,F
the estimator shall apply selected recycled part to the collision estimate,F
the estimator shall not apply recycled part to the collision estimate if no available part are returned,F
the adjuster shall review the collision estimate,F
the adjuster shall request a recycled part audit of the collision estimate,F
the recycled part search result provided to the estimator shall be retrieved by the system,F
the system shall generate an audit report based on the available recycled part and the collision estimate,F
the audit report shall include the total number of recycled part used in the estimate,F
the audit report shall include the number of available recycled part from the original search result,F
the audit report shall include the percentage of available recycled part used in the estimate,F
the audit report shall include the total score of the audit which sum the indivual line item,F
the audit report shall be displayed to the user,F
the audit report shall be available to other adjuster at later point in time,F
the user shall select to view the preferred repair facility rating,F
the current repair facility rating shall be displayed to the user,F
the system will display a blank set of rating if there are not rating yet defined,F
the user shall enter new rating based on the audit report,F
the rating shall be from a scale of 110,F
the rating shall include category for attempted use of recycled part and actual use of recycled part,F
the user shall select to save the preferred repair facility rating,F
the preferred repair facility rating shall be saved by the system,F
the product must work with most database management system on the market whether the dbms,NF
the product will function alongside server software on any operating system where the java runtime can be installed,NF
the dbms may be located on the same machine a the product or on a separate machine residing on the same computer network,NF
the product must make use of web/application server technology,NF
a database management system such a oracle db2 or mysql will need to be integrated with the product,NF
the product ’ s look and feel shall be able to incorporate aspect of the customer ’ s organization such a logo branding and identity,NF
the product shall have a conservative and professional appearance,NF
80 percent of the user surveyed report they are regularly using the product after the first 2 week postlaunch,NF
90 percent of user will be able to successfully reserve a conference room within 5 minute of product use,NF
80 percent of the user surveyed report that the product accurately confirms their action,NF
the product shall allow the user to select a chosen language from one of the target market country,NF
the product shall allow for customization of start page and view preference,NF
an employee will be able to successfully use the product within a few minute,NF
the product shall use a standard navigation menu familiar to most web user,NF
the product shall allow for intuitive searching of available conference room,NF
the product shall conform to the american with disability act,NF
the response shall be fast enough to avoid interrupting the user ’ s flow of thought,NF
aside from server failure the software product shall achieve 9999 percent up time,NF
the product shall create an exception log of problem encountered within the product,NF
the concurrency capacity must be able to handle peak scheduling time such a early morning and late afternoon hour,NF
the product shall be able to process 10000 transaction per hour within two year of it launch,NF
the product shall be expected to operate for at least 5 year for each customer installation,NF
the product shall be used in office environment,NF
the product shall transmit data between the user and the product without problem,NF
the product shall communicate successfully with the database management system on 100 percent of all transaction,NF
the product must be able to interface with various email server and it shall be able to send email,NF
the product shall be available for distribution via the internet a a binary or zip file,NF
the product shall be available for distribution a a packaged cd,NF
90 percent of new user are able to log into the system within 10 minute,NF
90 percent of maintenance software developer are able to integrate new functionality into the product with 2 working day,NF
80 percent of end user are able to integrate new database management system with the product without changing the product ’ s software code,NF
the maintenance release shall take no longer than 5 minute for 80 percent of the customer base to install,NF
70 percent of registered user shall find a solution to their problem within 5 minute of using the support site,NF
the customer shall be able to easily integrate new building map with the product throughout the product ’ s lifecycle,NF
the product shall be translated into foreign language other than the target market country ’ language in future release,NF
the product is expected to integrate with multiple database management system,NF
the product shall be able to be installed in any operating environment within 2 day,NF
100 percent of all logons shall be by either company employee or external user with companyapproved user id,NF
only manager are able to perform search query for reservation by user,NF
the product shall ensure that the database ’ s data corresponds to the data entered by the user,NF
the product shall prevent the input of malicious data,NF
the product and dependent database shall not crash 100 percent of the time that malicious data is input into the product,NF
the product shall have the ability to receive automatic software update a new threat emerge,NF
90 percent of survey respondent from each target market country will find that the language of the product is acceptable,NF
the product shall be able to display calendar date and time according to the user ’ s locale,NF
the product must be developed with the j2se/j2ee programming language library,NF
the product shall record meeting entry,F
the product will notify employee of meeting invitation,F
the product shall have the ability to send meeting reminder to employee,F
the product shall assign the organizer contact information to each meeting they create,F
the product will record meeting acknowledgement,F
the product shall store new conference room,F
the product shall update existing conference room,F
the product will be able to delete conference room,F
the product shall be able to store new room equipment,F
the product will update existing room equipment,F
the product shall be able to delete room equipment,F
the product shall allow an organizer to invite other employee to meeting,F
each time a conference room is reserved the conference room schedule shall be updated to reflect the time and date of the reservation,F
the product shall record the transportation status of equipment reserved,F
the product shall display a map of the company building showing conference room location,F
the product shall record updated meeting agenda,F
the product shall send a meeting confirmation to the meeting organizer,F
the product shall display room equipment according to search parameter,F
the product shall display conference room according to search parameter,F
the product shall record different meeting type,F
the product shall record all the equipment that ha been reserved,F
the product shall notify building personnel of equipment transport request,F
the product will allow priviledged user to view meeting schedule in multiple reporting view,F
the product shall be able to send meeting notification via different kind of enduser specified method,F
the product shall have a customizable look and feel,F
the product shall have an intuitive user interface,F
the product will display an available status for unreserved conference room,F
the system shall allow for a minimum of 6 user to work at the same time,NF
the system shall utilize currently owned computer equipment,NF
the system shall be able to automatically backup business data and restore them on demand,NF
any change in user password and/or permission should take affect in all part of the system,NF
it should be possible to assign access right to all subsystem independently,NF
the final version of the system must successfully pas independent audit performed by a certified auditor,NF
the system shall not require additional third party license resulting in royalty fee,NF
administrator shall be able to activate a prepaid card via the administration section in under 5 second,NF
customer shall be able to check the status of their prepaid card by entering in the pin number in under 5 second,NF
system shall let customer register on the website a a temporary user in under 5 minute,NF
system shall let customer register on the website a a unlimited user in under 10 minute,NF
system shall let existing customer log into the website with their email address and password in under 5 second,NF
system shall let customer cancel their account process shall take no longer than 2 minute,NF
system shall let administrator deactivate a customer account in under 1 minute,NF
system shall let administrator add/remove movie on the website in under 5 minute,NF
system shall let the administrator add/remove category on the website in under 5 minute,NF
system shall let administrator generate unique prepaid pin in under 2 minute,NF
the website shall appear to be fun and the color should be bright and vibrant,NF
the website should use animation on page which are describing the service to grab the user attention and encourage them to sign up,NF
the website design should be modern clean and concise,NF
the product should be able to be used by 90 percent of novice user on the internet,NF
user should only have to navigate through a maximum of 4 page to create an account with the website,NF
user should be able to access their streaming movie in under 2 click after logging into the website,NF
an anonymous survey will show that 70 percent of customer are comfortable purchasing streaming movie after 2 week using the website,NF
an anonymous survey will show that 95 percent of customer are comfortable using and purchasing prepaid card after a month of using the system,NF
the product shall retain the customer ’ s buying preference and information,NF
the product shall be easy for customer with novice skill on the internet to purchase and watch streaming movie,NF
the product shall use symbol and word that are naturally understandable by user familiar with website,NF
the website will use standard internet convention when interacting with the user,NF
any interface between a user and the automated system shall have a maximum response time of 5 second,NF
when purchasing a streaming movie via credit card the processing time should have a maximum response time of 15 second,NF
when streaming a movie the buffering time should take no longer than 10 second,NF
while streaming a movie buffering should only occur if there is latency in the user ’ s connection,NF
the website shall be available for use 24 hour per day 365 day per year,NF
the website shall achieve 995 percent up time,NF
all movie shall be streamed on demand at any time of the day,NF
the website shall continue to operate if the streaming server go down,NF
the website shall continue to operate if the payment gateway go down,NF
the streaming server will support 50 simultaneous streaming connection,NF
the streaming server will support a maximum of 700 movie,NF
the server will support a maximum of 1000 simultaneous user,NF
the website shall be capable of supporting 100000 customer,NF
the product shall be expected to operate within the maximum maintenance budget for a minimum of 2 year,NF
all aspect of the website shall be accessed by a web browser over the internet,NF
the same hardware supporting the current website will be used to support the new system,NF
we must be able to interface with internet explorer 5x 60 and firefox 10 browser,NF
website must interface with the cybersource api to process credit card transaction,NF
website must be fully operational with msn tv2,NF
movie shall be encoded and streamed via window medium player 90,NF
movie shall be encoded for 56k and 256k stream,NF
promotional update to the website should take a day to update,NF
the system will provide a 24 hour 800 toll free number for support to it customer,NF
the website will provide a help section with answer and solution to common problem,NF
velkat staff will be available for phone support between 7am7pm mf to provide technical support,NF
the product shall be able to be installed in the specified environment within 1 working day,NF
only registered customer can purchase streaming movie,NF
a customer can only stream a movie if they purchased it and are within the 2 day viewing period,NF
only authorized personnel can access customer record in the database,NF
only administrator can activate a prepaid card,NF
only authorized personnel can access sale information,NF
the website shall prevent it data from being corrupted when incorrect data is entered in,NF
the website shall protect itself from intentional abuse and notify the administrator at all occurrence,NF
data integrity script will be run on a weekly basis to verify the integrity of the database,NF
the website shall make it user aware of it information practice before collection data from them via a privacy policy,NF
the system shall notify customer of change to it information policy,NF
the system shall reveal private information only in compliance with the organization ’ s information policy,NF
all customer information will be stored on a secure database accessible only to authorized personnel,NF
all credit card information will be encrypted in the database,NF
the streaming server will have antivirus software to prevent infection of malicious virus,NF
the website should cater to all tribe in nigeria,NF
the website shall not be offensive to religious or ethnic group,NF
the website should appeal to all african not only nigerian,NF
the website should use flash to provide animation on the home page,NF
the system shall meet the licensing requirement set forth by the appropriate organization in order to stream african movie,NF
the website will comply with w3c standard,NF
the php code will comply with pear standard,NF
the website will allow customer to search for movie by title actor or director,F
the website will display the movie description actor and director entered in by the administrator,F
the website shall request and authorize credit card payment before allowing a user to stream a movie,F
user shall be able to stream purchased movie via window medium player for up to 2 day after purchase date,F
website shall allow customer to view review of selected movie by other customer,F
website shall allow customer to add their own movie review for a selected movie,F
system will allow customer to pay for a streaming movie with a prepaid card,F
website shall allow customer to purchase prepaid card,F
system shall automatically update the main page of the website every friday,F
system shall allow user to update their billing and contact information,F
prepaid card shall be distributed via email or via a printed paper card,F
only registered customer can purchase streaming movie,F
movie can only be streamed if the customer ha purchased a movie,F
website must be able to support free trial period with various parameter set by the izogn manager,F
