RequirementText,Class
'The system shall have a MDI form that allows for the viewing of the graph and the data table.',F
'The system shall display Events in a vertical table by time.',F
'The system shall display the Events in a graph by time.',F
'The system shall display Events or Activities.',F
'The top 1/4 of the table will hold events that are to occur sequentially.',F
'The bottom 3/4 of the table will hold events that occur according to its relevance to current time.',F
'The system shall color code events according to their variance from current time.',F
'The system shall allow modification of the display.',F
'The system shall offer a display of all the Events in the exercise.',F
'The system shall filter data by Venues and Key Events.',F
'The system shall allow a user to define the time segments',F
'The system shall display the local time and exercise time in separate clocks',F
'The system shall offer the ability to pause and resume the refresh of data.',F
'The system shall provide charts for the Activity or Event actual versus assumed time.',F
'The system shall provide a history report of changes made to the Activity or Event data',F
'The system shall allow a real estate agent to query MLS information',F
'The user shall be able to get driving directions to a selected property',F
'The user shall be able to download appointments and contact information for clients',F
'The system shall display clear property images in the search results',F
'The system shall update or create new property listings in the MLS',F
'The system shall be able to call the seller or buyer to schedule an appointment',F
'The realtor shall be notified of new client appointments after automatic synchronization with office system',F
'The realtor shall be able to retrieve a map showing property locations for a specified area',F
'The system shall notify the realtor when a seller or buyer responds to an appointment request',F
'The product shall allow the user to save the property search results.',F
'Administrators shall be able to add a listing of students to a cohort.',F
'Administrators shall be able to add a single student to a cohort',F
'Students added to a cohort shall be eligible for the cohort’s Program of Study.',F
'Administrators shall be able to specify the preferred sequence of classes for a given cohort.',F
'Administrators shall be able to add new classes to a sequence of classes',F
'Administrators shall be able to add clinical classes or sections to a sequence of classes',F
'Administrators shall be able to add a new cohort to the system identified by start month and year.',F
'Administrators shall be able to add new classes for the nursing department into the system.',F
'A class shall be either a non-clinical class or a clinical class.',F
'A non-clinical class shall specify the course name lecture room requirements and instructor needs.',F
'Administrators shall be able to create a new Program of Study.',F
'Administrators shall have the ability to specify which classes are required for a Program of Study',F
'Classes for a given cohort shall not conflict with regards to the time and day that they are offered.',F
'Administrators shall be able to add a new clinical site into the system.',F
'Clinical site information shall include the name of the site contact person and contact information.',F
'Administrators shall be able to add a new clinical lab section for an existing clinical class into the System.',F
'A clinical lab section shall include the clinical site name the class instructor day and time of the lab.',F
'Administrators shall be able to add a student who has registered for a clinical class to a clinical lab section for that class.',F
'The system shall allow a Administrator to remove a student from a clinical lab section.',F
'The system shall allow a Administrator to move a student from one clinical lab section to another.',F
'Administrators shall be able to cancel a clinical lab section only if there are no students registered for that clinical lab section.',F
'A Administrator shall be able to add a new nursing student to the system.',F
'A staff member shall have the ability to manage the progress of a part time student.',F
'The system shall be able to display a printable summary for individual cohorts.',F
'The system shall be able to display a printable summary for individual clinical sites.',F
'The system shall be able to display a printable summary for individual clinical labs.',F
'The system shall be able to display a printable summary for individual nursing students.',F
'The system shall be able to display a printable summary of the system log.',F
'The system shall contain contact information for all people relevant to the system.',F
'The system will use the stored e-mail addresses as a primary means of communicating information to affected parties.',F
'The system will notify affected parties for routine communication purposes.',F
'The system will notify affected parties when changes occur affecting clinicals.',F
'The system will notify affected parties when changes occur affecting classes.',F
'The system will notify affected parties when changes occur affecting cohorts.',F
'The system will notify affected parties when changes occur affecting specific students.',F
'Administrators shall have the ability to modify information relating to cohorts.',F
'Administrators shall have the ability to modify information relating to a Program of Study within the Nursing Department.',F
'Administrators shall have the ability to modify information relating to a Clinical Site.',F
'Administrators shall have the ability to modify information relating to a Clinical Lab Section.',F
'Administrators shall have the ability to modify information relating to a Nursing Student.',F
'The Disputes System must be accessible by both internal and external users.',F
'The Disputes System must prevent users from accessing any dispute cases that do not belong to their cardholder base.',F
'The Disputes System will facilitate direct data entry of a dispute case via a user interface that supports real time responses to the users.',F
'The Disputes System must provide different levels of access with regard to disputes case initiation and follow-up actions.',F
'The Disputes System shall provide view access capability for authorized users of the application.',F
'The Disputes System shall provide update access capability for authorized users of the application.',F
'The Disputes System must allow the users to select disputable transactions from a user interface and initiate a dispute on the selected transaction.',F
'The Disputes System must provide the user the ability to initiate a single dispute case on multiple transactions that belong to a single merchant.',F
'The Disputes System will provide the user the ability to create or initiate a ticket retrieval request.',F
'The Disputes System must allow the user to create three unique types of ticket retrieval requests.',F
'The Disputes System must prevent external users from requesting original receipts.',F
'The Disputes System must provide a confirmation to the user upon the creation of ticket retrieval request.',F
'The Disputes System shall allow the user to create or initiate a chargeback request.',F
'The Disputes System must provide a confirmation to the user upon the creation of a chargeback request.',F
'The Disputes System shall prevent the creation of duplicate dispute requests 100% of the time.',F
'The Disputes System shall accurately provide a list of possible reason codes for a given transaction.',F
'The Disputes System must provide the ability to view existing dispute cases.',F
'The Disputes System must provide Search functionality.',F
'A list of all disputes cases that meet the entered search criteria must be provided to the user.',F
'The Disputes System shall provide the users the ability to view the history of all activities that have occurred on the dispute case.',F
